ISO-CODE-GEOGRAPHIC-UNIT;GEOGRAPHIC-NAME;ISO-CODE-PROVINCE;PROVINCE-NAME;LATITUDE;LONGITUDE;DISTRICT-NAME;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40693;-4.55870;Kota Bandar Lampung;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40694;-4.55871;Kota Metro;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34639;-3.57785;Kabupaten Bengkulu Selatan;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34640;-3.57786;Kabupaten Bengkulu Tengah;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34641;-3.57787;Kabupaten Bengkulu Utara;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34642;-3.57788;Kabupaten Kaur;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34643;-3.57789;Kabupaten Kepahiang;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34644;-3.57790;Kabupaten Lebong;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34645;-3.57791;Kabupaten Mukomuko;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34646;-3.57792;Kabupaten Rejang Lebong;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34647;-3.57793;Kabupaten Seluma;;;
ID-SM;Sumatera;ID-BE;Bengkulu;102.34648;-3.57794;Kota Bengkulu;;;
ID-SM;Sumatera;ID-BB;Bangka Belitung;106.44059;-2.74105;Kabupaten Bangka;;;
ID-SM;Sumatera;ID-BB;Bangka Belitung;106.44060;-2.74106;Kabupaten Bangka Barat;;;
ID-SM;Sumatera;ID-BB;Bangka Belitung;106.44061;-2.74107;Kabupaten Bangka Selatan;;;
ID-SM;Sumatera;ID-BB;Bangka Belitung;106.44062;-2.74108;Kabupaten Bangka Tengah;;;
ID-SM;Sumatera;ID-BB;Bangka Belitung;106.44063;-2.74109;Kabupaten Belitung;;;
ID-SM;Sumatera;ID-BB;Bangka Belitung;106.44064;-2.74110;Kabupaten Belitung Timur;;;
ID-SM;Sumatera;ID-BB;Bangka Belitung;106.44065;-2.74111;Kota Pangkal Pinang;;;
ID-SM;Sumatera;ID-KR;Kepulauan Riau;108.14287;3.94565;Kabupaten Bintan;;;
ID-SM;Sumatera;ID-KR;Kepulauan Riau;108.14288;3.94566;Kabupaten Karimun;;;
ID-SM;Sumatera;ID-KR;Kepulauan Riau;108.14289;3.94567;Kabupaten Kepulauan Anambas;;;
ID-SM;Sumatera;ID-KR;Kepulauan Riau;108.14290;3.94568;Kabupaten Lingga;;;
ID-SM;Sumatera;ID-KR;Kepulauan Riau;108.14291;3.94569;Kabupaten Natuna;;;
ID-SM;Sumatera;ID-KR;Kepulauan Riau;108.14292;3.94570;Kota Batam;;;
ID-SM;Sumatera;ID-KR;Kepulauan Riau;108.14293;3.94571;Kota Tanjung Pinang;;;
ID-JW;Jawa;ID-JK;DKI Jakarta;-6.2182000;106.8584000;Kabupaten Administrasi Kepulauan Seribu;;;
ID-JW;Jawa;ID-JK;DKI Jakarta;-6.2182001;106.8584001;Kota Administrasi Jakarta Barat;;;
ID-JW;Jawa;ID-JK;DKI Jakarta;-6.2182002;106.8584002;Kota Administrasi Jakarta Pusat;;;
ID-JW;Jawa;ID-JK;DKI Jakarta;-6.2182003;106.8584003;Kota Administrasi Jakarta Selatan;;;
ID-JW;Jawa;ID-JK;DKI Jakarta;-6.2182004;106.8584004;Kota Administrasi Jakarta Timur;;;
ID-JW;Jawa;ID-JK;DKI Jakarta;-6.2182005;106.8584005;Kota Administrasi Jakarta Utara;;;
ID-JW;Jawa;ID-BT;Banten;106.06402;-6.40582;Kabupaten Tangerang;;;
ID-JW;Jawa;ID-BT;Banten;106.06403;-6.40583;Kabupaten Serang;;;
ID-JW;Jawa;ID-BT;Banten;106.06404;-6.40584;Kabupaten Lebak;;;
ID-JW;Jawa;ID-BT;Banten;106.06405;-6.40585;Kabupaten Pandeglang;;;
ID-JW;Jawa;ID-BT;Banten;106.06406;-6.40586;Kota Tangerang;;;
ID-JW;Jawa;ID-BT;Banten;106.06407;-6.40587;Kota Serang;;;
ID-JW;Jawa;ID-BT;Banten;106.06408;-6.40588;Kota Cilegon;;;
ID-JW;Jawa;ID-BT;Banten;106.06409;-6.40589;Kota Tangerang Selatan;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66889;-7.09091;Kabupaten Bandung;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66890;-7.09092;Kabupaten Bandung Barat;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66891;-7.09093;Kabupaten Bekasi;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66892;-7.09094;Kabupaten Bogor;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66893;-7.09095;Kabupaten Ciamis;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66894;-7.09096;Kabupaten Cianjur;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66895;-7.09097;Kabupaten Cirebon;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66896;-7.09098;Kabupaten Garut;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66897;-7.09099;Kabupaten Indramayu;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66898;-7.09100;Kabupaten Karawang;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66899;-7.09101;Kabupaten Kuningan;;;
